[235,236|OK|2017-03-27 12:52:41|number:2|Run:1]
[EMPTY|2017-03-27 12:55:41|number:0|Run:2]
[EMPTY|2017-03-27 12:58:41|number:0|Run:3]
[EMPTY|2017-03-27 13:01:41|number:0|Run:4]
[EMPTY|2017-03-27 13:04:41|number:0|Run:5]
[EMPTY|2017-03-27 13:07:41|number:0|Run:6]
[EMPTY|2017-03-27 13:10:41|number:0|Run:7]
[EMPTY|2017-03-27 13:13:41|number:0|Run:8]
[EMPTY|2017-03-27 13:16:41|number:0|Run:9]
[EMPTY|2017-03-27 13:19:41|number:0|Run:10]
[EMPTY|2017-03-27 13:22:41|number:0|Run:11]
[EMPTY|2017-03-27 13:25:41|number:0|Run:12]
[EMPTY|2017-03-27 13:28:41|number:0|Run:13]
[EMPTY|2017-03-27 13:31:41|number:0|Run:14]
[EMPTY|2017-03-27 13:34:41|number:0|Run:15]
[EMPTY|2017-03-27 13:37:41|number:0|Run:16]
[EMPTY|2017-03-27 13:40:41|number:0|Run:17]
[EMPTY|2017-03-27 13:43:41|number:0|Run:18]
[EMPTY|2017-03-27 13:46:41|number:0|Run:19]
[241|OK|2017-03-27 13:49:41|number:1|Run:20]
[242|OK|2017-03-27 13:52:41|number:1|Run:21]
[243|ERROR|2017-03-27 13:55:41|number:1|Run:22]
[243,244|ERROR|2017-03-27 13:58:41|number:2|Run:23]
[243,244,245,246|ERROR|2017-03-27 14:01:41|number:4|Run:24]
[EMPTY|2017-03-27 14:04:41|number:0|Run:25]
[EMPTY|2017-03-27 14:07:41|number:0|Run:26]
[EMPTY|2017-03-27 14:10:41|number:0|Run:27]
[EMPTY|2017-03-27 14:13:41|number:0|Run:28]
[EMPTY|2017-03-27 14:16:41|number:0|Run:29]
[EMPTY|2017-03-27 14:19:41|number:0|Run:30]
[EMPTY|2017-03-27 14:22:41|number:0|Run:31]
[EMPTY|2017-03-27 14:25:41|number:0|Run:32]
[EMPTY|2017-03-27 14:28:41|number:0|Run:33]
[EMPTY|2017-03-27 14:31:41|number:0|Run:34]
[EMPTY|2017-03-27 14:34:41|number:0|Run:35]
[EMPTY|2017-03-27 14:37:41|number:0|Run:36]
[EMPTY|2017-03-27 14:40:41|number:0|Run:37]
[EMPTY|2017-03-27 14:43:41|number:0|Run:38]
[EMPTY|2017-03-27 14:46:41|number:0|Run:39]
[EMPTY|2017-03-27 14:49:41|number:0|Run:40]
[EMPTY|2017-03-27 14:52:41|number:0|Run:41]
[EMPTY|2017-03-27 14:55:41|number:0|Run:42]
